Airdate,Animation,Animation Supervisor,Copyright year,Creative,Episode №,Guest(s),Line Producer,Main,Next,Previous,Production code,Running time,Season №,Sister episode(s),Storyboard,Storyboard Artist(s),Supervising,Supervising Producer(s),Technical,U.S. premiere time (ET),U.S. viewers (millions),Writer(s),characters,title
"October 8, 2012","['Alan Smart', 'Andrew Overtoom', 'Tom Yasumi']",,2012,Vincent Waller,178,Andy Samberg as Colonel Carper,,,"""Extreme Spots""","""Move It or Lose It""","['268-831', '268-832']","22 minutes, 3 seconds",8,,"['Aaron Springer', 'Sean Charmatz']",,,Paul Tibbitt,,8:00 pm,2.76,"['Aaron Springer', 'Sean Charmatz', 'Dani Michaeli']","SpongeBob SquarePants, Squidward Tentacles, Eugene H. Krabs, Patrick Star, Colonel Carper, Sheldon J. Plankton, Mrs. Puff, Dwight T. Wad, French Narrator, Jellyfish, Gary the Snail, Ned and the Needlefish, King Neptune, Appraiser and Pawn Shop owner, Bert, Ernesto Blindfish, Incidentals, Incidental 34, Champ 1, Champ 2, Incidental 25, Joe, Incidental 107, Putzy, Troutenheimer, Incidental 49, Tom, Incidental 42, John, Incidental 37B, Incidental 47, Incidental 3, Incidental 41, Incidental 31, Incidental 37A, Sandals, Incidental 67, Incidental 14, Incidental 48, Incidental 20, Incidental 64, Harold, Incidental 106, Frank, Harris, Incidental 12, Incidental 103, Incidental 30, Incidental 60, Incidental 7, Incidental 102, Incidental 104, Incidental 45, Incidental 68, Incidental 40, Dale, Mary, Incidental 92, Frank, Incidental 27, Incidental 9, Musician 3, Incidental 88, Incidental 89B, Mabel, Incidental 117, Incidental 116, Incidental 150, Incidental 151, Incidental 152, Incidental 153, Incidental 109, Incidental 8, Carol, Incidental 13, Incidental 2, Incidental 69, Incidental 186, Charlie, Incidental 15, Incidental 30A, Old Man Walker, Incidental 93, Incidental 39, Victoria Ellen, Incidental F4, Incidental 95, Incidental 63, Billy, Incidental 119, Lenny, Incidental 115, Teen 3, Incidental F3, Incidental 17, Incidental 82, Incidental G10, Billy Fishkins, Judge 3, Incidental 31, Old Man Jenkins, Octopus boy",Hello Bikini Bottom!
"July 21, 2012",Tom Yasumi,,2012,Vincent Waller,179a,"['Johnny Knoxville as Johnny Krill', 'Mark Fite as Not Dead Ted']",,,"""Squirrel Record""","""Hello Bikini Bottom!""",325-902,"11 minutes, 1 second",9,"""Squirrel Record""","['Luke Brookshier', 'Marc Ceccarelli']",,,Paul Tibbitt,,8:00 pm,3.65,"['Luke Brookshier', 'Marc Ceccarelli', 'Derek Iversen']","SpongeBob SquarePants, Patrick Star, The Drastic Radicals, Johnny Krill, Grand Maul Granny, Not Dead Ted, British gentleman, Mattress, Charlie, Incidentals, Fred, Incidental 103, Incidental 48, Incidental 40, Incidental 17, Incidental 41, Incidental 6, Incidental 49, Incidental 42, Incidental 16, Incidental 69, Charlie, Incidental 9, Incidental 47, Incidental 105, Incidental 37A, Incidental 106, Incidental 31, Incidental 13",Extreme Spots
"July 21, 2012",Alan Smart,,2012,Vincent Waller,179b,,,,"""Patrick-Man!""","""Extreme Spots""",325-901,"10 minutes, 57 seconds",9,"""Extreme Spots""","['Luke Brookshier', 'Marc Ceccarelli']",,Alan Smart,Paul Tibbitt,,8:15 pm,3.65,"['Luke Brookshier', 'Marc Ceccarelli', 'Derek Iversen']","SpongeBob SquarePants, Sandy Cheeks, Patrick Star, Squidward Tentacles, Sheldon J. Plankton, Gary the Snail, Earl Cheeks, Sandy's robots, King Neptune, Guinness O'Ripley, Sandals",Squirrel Record
"October 27, 2012",Alan Smart,,2012,Vincent Waller,180a,"['Ernest Borgnine as Mermaid Man', 'Tim Conway as Barnacle Boy', 'Bob Joles as Man Ray, Melvin, and Fish #105']",,,"""Gary's New Toy""","""Squirrel Record""",325-907,"10 minutes, 55 seconds",9,"""Gary's New Toy""","['Casey Alexander', 'Zeus Cervas']",,,Paul Tibbitt,,9:15 am,3.78,"['Casey Alexander', 'Zeus Cervas', 'Derek Iversen']","Patrick Star, SpongeBob SquarePants, Gary the Snail, Eugene H. Krabs, Squidward Tentacles, Mrs. Puff, Incidentals, Incidental 104, Incidental 115, Incidental 7, Incidental 82, Incidental 107, Incidental 41, Incidental 42, Incidental 64, Troutenheimer, Incidental 48, Steven, Incidental 30, Billy, Harris, Incidental 21, Incidental 40, Incidental 8, Incidental 92, Incidental 106, Incidental 45, Incidental 27, Incidental 105, Incidental 104, Incidental 37B, Incidental 39, Margaret SquarePants, Harold SquarePants, Grandma SquarePants, Dirty Bubble, Nicholas Withers, Mermaid Man, Barnacle Boy, Man Ray, King Neptune",Patrick-Man!
"October 14, 2012",Tom Yasumi,,2012,Vincent Waller,180b,,,,"""License to Milkshake""","""Patrick-Man!""",325-906,"10 minutes, 50 seconds",9,"""Patrick-Man!""",Marc Ceccarelli,,,Paul Tibbitt,,7:34 pm,2.28,"['Marc Ceccarelli', 'Derek Iversen']","SpongeBob SquarePants, SpongeBob's alarm clock, Gary the Snail, Patrick Star, Squidward Tentacles, Nematode, Incidentals, Harris, Incidental 27, Incidental 48, Margaret SquarePants, Sheldon J. Plankton, Fire fish",Gary's New Toy
"September 7, 2012",Tom Yasumi,,2012,Vincent Waller,181a,"['Michael McKean as Captain Frostymug', 'Mark Fite as Scoop, and Fish #1']",,,"""Squid Baby""","""Gary's New Toy""",325-915,11 minutes,9,"""Squid Baby""","['Casey Alexander', 'Zeus Cervas']","['Casey Alexander', 'Zeus Cervas']",,Paul Tibbitt,,5:00 pm,3.13,"['Casey Alexander', 'Zeus Cervas', 'Doug Lawrence']","SpongeBob SquarePants, Squidward Tentacles, Eugene H. Krabs, Captain Frostymug, Incidentals, Incidental 40, Incidental 41, Incidental 48, Incidental 105, Incidental 42, Troutenheimer, Incidental 14, Incidental 106, Incidental 64, Dale, Incidental 104, Incidental 92, Sandals, Incidental 60, Incidental 45, Incidental 31, Incidental 46, Incidental 27, Incidental 107, Harris, Incidental 47, Milkshake Academy cadets, King Neptune",License to Milkshake
"September 3, 2012",Alan Smart,,2012,Vincent Waller,181b,,,,"""Little Yellow Book""","""License to Milkshake""",325-905,11 minutes,9,"""License to Milkshake""","['Casey Alexander', 'Zeus Cervas']",,,Paul Tibbitt,,7:30 pm,3.36,"['Casey Alexander', 'Zeus Cervas', 'Doug Lawrence']","SpongeBob SquarePants, Squidward Tentacles, Patrick Star, Eugene H. Krabs, Gary the Snail, King Neptune, Trucker, Incidentals, Incidental 116, Incidental 42, Incidental 105, Fred, Incidental 92, Incidental 106, Incidental 41, Incidental 40, Incidental 107, Incidental 85, Incidental 46, Incidental 37A, Incidental 67, Incidental 8, Scooter, Incidental 49, Harold, Incidental 48, Incidental 69, Incidental 104, Incidental 64, Incidental 31, Incidental 7",Squid Baby
"March 2, 2013",Alan Smart,,2012,Vincent Waller,182a,,,,"""Bumper to Bumper""","""Squid Baby""",325-916,"11 minutes, 1 second",9,"""Bumper to Bumper""","['Luke Brookshier', 'Marc Ceccarelli']",,,Paul Tibbitt,,10:30 am,4.73,"['Luke Brookshier', 'Marc Ceccarelli', 'Derek Iversen']","Squidward Tentacles, SpongeBob SquarePants, Eugene H. Krabs, Patrick Star, Hotline, Gary the Snail, Mrs. Tentacles, Taxi driver, King Neptune, Quincy, Mailman, Big dude, Incidentals, Old Man Walker, Incidental 46, Incidental 24, Incidental 14, Incidental 105, Incidental 45, Incidental 37A, Incidental 64, Incidental 8, Incidental 2, Incidental 37B, Incidental 36, Incidental 63, Incidental 41, Incidental 151, Incidental 107, Incidental 104, John, Incidental 31, Incidental 48, Incidental 47, Tom, Incidental 9, Incidental 7, Incidental 40, Policeman 2, Sandals, Incidental 106, Dale, Fred, Incidental 42, Incidental 103",Little Yellow Book
"November 17, 2012",Alan Smart,,2012,Vincent Waller,182b,,,,"""Eek, an Urchin!""","""Little Yellow Book""",325-904,"10 minutes, 58 seconds",9,"""Little Yellow Book""","['Casey Alexander', 'Zeus Cervas']",,,Paul Tibbitt,,10:30 am,4.01,"['Casey Alexander', 'Zeus Cervas', 'Doug Lawrence']","SpongeBob SquarePants, Mrs. Puff, Gary the Snail, Fancy guy, Highway Speed Patrol Officer, Incidentals, Incidental 107, Incidental 64, Incidental 41, Incidental 48, Incidental 106, Incidental 8, Incidental 49, Incidental 105, Incidental 92",Bumper to Bumper
"October 27, 2012",Alan Smart,,2012,Vincent Waller,183a,,,,"""Squid Defense""","""Bumper to Bumper""",325-921,"10 minutes, 56 seconds",9,"""Squid Defense""","['Luke Brookshier', 'Marc Ceccarelli']",,,Paul Tibbitt,,9:00 am,3.78,"['Luke Brookshier', 'Marc Ceccarelli', 'Doug Lawrence']","SpongeBob SquarePants, Eugene H. Krabs, Squidward Tentacles, Sheldon J. Plankton, Karen Plankton, Plankton's death robot, Sea urchins, King Neptune, Incidentals, Incidental 42, Incidental 13, Incidental 46, Incidental 14, Incidental 107, Incidental 106, Charlie, Unknown old fish","Eek, an Urchin!"
"January 1, 2013",Tom Yasumi,,2012,Vincent Waller,183b,Thomas F. Wilson as Stranger,,,"""Jailbreak!""","""Eek, an Urchin!""",325-911,"10 minutes, 58 seconds",9,"""Eek, an Urchin!""","['Casey Alexander', 'Zeus Cervas', 'Blake Lemons']",,,Paul Tibbitt,,7:00 pm,3.70,"['Casey Alexander', 'Zeus Cervas', 'Blake Lemons', 'Derek Iversen']","Squidward Tentacles, SpongeBob SquarePants, Stranger, Gary the Snail, Sandy Cheeks, Incidentals, Incidental 104, Incidental 118",Squid Defense
"March 16, 2013",Alan Smart,,2013,Vincent Waller,184a,Mark Fite as Whale cellmate and Guard #1,,,"""Evil Spatula""","""Squid Defense""",325-909,"11 minutes, 1 second",9,"""Evil Spatula""","['Luke Brookshier', 'Marc Ceccarelli']",,,Paul Tibbitt,,10:30 am,3.81,"['Luke Brookshier', 'Marc Ceccarelli', 'Doug Lawrence']","Eugene H. Krabs, Sheldon J. Plankton, French Narrator, SpongeBob SquarePants, Karen Plankton, Incidentals, Frank, Incidental 30A, Incidental 67, Incidental 37B, Incidental 64, Incidental 92, Incidental 7, Incidental 115, Incidental 49, Incidental 47, Incidental 25, Incidental 8, Incidental 63, Incidental 150, Incidental 48, Tom, Incidental 46, Incidental 82, Incidental 45, Incidental 104, Incidental 151, Fred, Incidental 41, Incidental 118, Incidental 13, Carol, Incidental 20, Incidental 42, Billy, Incidental 2, Incidental 28, Incidental 7, Incidental 14, Incidental 30, Incidental 106, Incidental 105, Scooter, Prison guard 2, ""Prisoner"" incidentals, Prisoner B, Light blue cellmate, Purple cellmate, Olive green cellmate, Squid cellmate, Whale cellmate, Clerk, Squidward Tentacles",Jailbreak!
"March 9, 2013","['Alan Smart', 'Tom Yasumi']",,2013,Vincent Waller,184b,,,,"""It Came from Goo Lagoon""","""Jailbreak!""",325-924,"10 minutes, 59 seconds",9,"""Jailbreak!""","['Casey Alexander', 'Zeus Cervas', 'Blake Lemons']",,,Paul Tibbitt,,10:30 am,4.04,"['Casey Alexander', 'Zeus Cervas', 'Blake Lemons', 'Andrew Goodman']","SpongeBob SquarePants, Sheldon J. Plankton, SpongeBob's spatula, Eugene H. Krabs, Squidward Tentacles, Karen Plankton, Majestic Sizzlemaster, Gary the Snail, Incidentals, Incidental 14, Incidental 42, Incidental 64, Fred, Incidental 45, Incidental 41, Incidental 106, Incidental 153, Tom, Incidental 47, Incidental 102, Incidental 159",Evil Spatula
"February 17, 2014","['Alan Smart', 'Tom Yasumi']",,2013,Vincent Waller,185,,,,"""Safe Deposit Krabs""","""Evil Spatula""","['325-917', '325-918']",22 minutes,9,,"['Marc Ceccarelli', 'Luke Brookshier']",,,Paul Tibbitt,,7:00 pm,4.04,"['Marc Ceccarelli', 'Luke Brookshier', 'Derek Iversen', 'Doug Lawrence']","SpongeBob SquarePants, Patrick Star, Squidward Tentacles, Sandy Cheeks, Sheldon J. Plankton, Eugene H. Krabs, Karen Plankton, Realistic Fish Head, Perch Perkins, Analyzer, Incidentals, Incidental 34, Incidental 41, Incidental 48, Scooter, Incidental 37A, Dale, Incidental 151, Incidental 46, Incidental 92, Incidental 155, Incidental 1D, Incidental 49, Incidental 36, Incidental 64, Incidental 106, Incidental 103, Incidental 150, Incidental 107, Incidental 68, Incidental 40, Incidental 81, Incidental 17, Incidental 8, Incidental 47, Incidental 28, Incidental 27, Incidental 2, Incidental 12, Charlie, Incidental 45, Incidental 73, Incidental F2, Incidental 15, Incidental F18, Incidental 7, Incidental 157, Incidental 115, Incidental 102, Incidental 6, Incidental 105, Incidental 42, Baby fish, Reg, Music School Matron, SpongeBlob, Bubble giants, King Neptune",It Came from Goo Lagoon
"May 25, 2013",Alan Smart,,2013,Vincent Waller,186a,Mark Fite as Guard #2,,,"""Plankton's Pet""","""It Came from Goo Lagoon""",325-931,11 minutes,9,"""Plankton's Pet""","['Casey Alexander', 'Zeus Cervas', 'Blake Lemons']",,,Paul Tibbitt,,10:00 am,4.18,"['Casey Alexander', 'Zeus Cervas', 'Blake Lemons', 'Derek Iversen']","Eugene H. Krabs, SpongeBob SquarePants, Squidward Tentacles, Patrick Star, Pearl Krabs, Realistic Fish Head, Mayor, Incidentals, Incidental 47, Charlie, Incidental 105, Incidental 40, Incidental 60, Incidental 48, Incidental 63, Dale, Incidental 73, Incidental 151, Incidental 2, Incidental 64, Incidental 67, Incidental 152, Incidental 107, Sandals, Scooter, Incidental 102, Incidental 45, Troutenheimer, Incidental 9, Incidental 37A, Incidental 92, Incidental 106, Incidental 118, Incidental 93, Incidental 27, Incidental 104, Incidental 7, Incidental 49, Incidental 41, Incidental 14, Penny, Mrs. Greenback, King Neptune, Money dragon, Bank manager",Safe Deposit Krabs
"January 19, 2013","['Alan Smart', 'Tom Yasumi']",,2012,Vincent Waller,186b,,,,"""Don't Look Now""","""Safe Deposit Krabs""",325-934,"11 minutes, 1 second",9,"""Safe Deposit Krabs""","['Marc Ceccarelli', 'Luke Brookshier']",,,Paul Tibbitt,,10:30 am,4.37,"['Marc Ceccarelli', 'Luke Brookshier', 'Doug Lawrence']","SpongeBob SquarePants, Squidward Tentacles, Sheldon J. Plankton, Eugene H. Krabs, Incidentals, Incidental 40, Incidental 47, Incidental 107, Incidental 115, Incidental 105, Incidental 64, Incidental 104, Incidental 46, Incidental 87, Incidental 41, Incidental 48, Incidental 106, Fred, Incidental 2, Incidental 27, Karen Plankton, Gary the Snail, JK, Ugly snail, Patrick Star, Big clam, Spot, Sea monkey, Sea urchins",Plankton's Pet
"October 14, 2013",Tom Yasumi,,2013,Vincent Waller,187a,,,,"""Séance Shméance""","""Plankton's Pet""",325-938,11 minutes,9,"""Séance Shméance""","['Marc Ceccarelli', 'Luke Brookshier']",,,Paul Tibbitt,,7:00 pm,3.42,"['Marc Ceccarelli', 'Luke Brookshier', 'Doug Lawrence']","SpongeBob SquarePants, Patrick Star, Squidward Tentacles, Usher 1, Incidentals, Teen 1, Sandals, Incidental 49, Incidental 37A, Incidental 30A, Incidental 8, Incidental 104, Carol, Incidental 47, Old Man Walker, Incidental 14, Incidental 64, Incidental 81, Incidental 40, Incidental 45, Incidental 12, Incidental 41, Fred, Incidental 60, Incidental 63, Incidental 67, Dale, Incidental 46, Incidental 48, Incidental 92, Harris, Incidental 102, Incidental K1, Incidental 103, Incidental 150, Teen 15, Incidental 106, Incidental 107, Incidental 119, The Fisherman, Teen 15's boyfriend, Slasher McGee, Jellyfish, Shelley, Gary the Snail",Don't Look Now
"October 14, 2013","['Alan Smart', 'Tom Yasumi']",,2013,Vincent Waller,187b,,,,"""Kenny the Cat""","""Don't Look Now""",325-937,"10 minutes, 59 seconds",9,"""Don't Look Now""","['Casey Alexander', 'Zeus Cervas']",,,Paul Tibbitt,,7:15 pm,3.42,"['Casey Alexander', 'Zeus Cervas', 'Doug Lawrence']","Psychic, Incidentals, Incidental 104, Old Man Walker, Incidental 48, Incidental 41, Incidental 40, Troutenheimer, Incidental 49, Harris, Incidental 60, Incidental 7, Incidental 37A, Soda ghost, Squidward Tentacles, SpongeBob SquarePants, Old Man Jenkins, Gary the Snail, Eugene H. Krabs, Patrick Star, Rusty Rickets, Motorcycle ghost, Charlie, Fat ghost, Frank",Séance Shméance
"March 29, 2014",Tom Yasumi,,2013,Vincent Waller,188a,Biz Markie as Kenny the Cat,,,"""Yeti Krabs""","""Séance Shméance""",325-927,11 minutes,9,"""Yeti Krabs""","['Casey Alexander', 'Zeus Cervas', 'Blake Lemons']",,,Paul Tibbitt,,7:45 pm,4.33,"['Casey Alexander', 'Zeus Cervas', 'Blake Lemons', 'Doug Lawrence']","SpongeBob SquarePants, SpongeBob's heart, Kenny the Cat, Sandy Cheeks, Eugene H. Krabs, Patrick Star, Squidward Tentacles, King Neptune, Incidentals, Incidental 37B, Tom, Incidental 118, Incidental 48, Incidental 47, Incidental 8, Billy, Incidental 67, Incidental 60, Incidental 49, Incidental 64, Incidental 68, Incidental 63, Incidental 69, Dale, Incidental 105, Incidental 41, Troutenheimer, Incidental 34, Incidental 42, Incidental 107, Incidental 27, Scooter, Lenny, Incidental 104, Incidental 106, Incidental 37A, Incidental 25, Incidental 14, Incidental 31, Incidental 36, Incidental 151, Old Man Walker, Incidental 7, Incidental 103, Incidental 153, Incidental 40, Incidental 30, Harris, Sandals, Incidental 9, Incidental 152, Carol, Incidental 16, Incidental 102, Announcer",Kenny the Cat
"March 29, 2015",Alan Smart,,2013,Vincent Waller,188b,,,,"""SpongeBob You're Fired""","""Kenny the Cat""",325-940,"10 minutes, 59 seconds",9,"""Kenny the Cat""","['Casey Alexander', 'Zeus Cervas']",,,Paul Tibbitt,,7:00 pm,2.25,"['Casey Alexander', 'Zeus Cervas', 'Doug Lawrence']","Squidward Tentacles, Eugene H. Krabs, SpongeBob SquarePants, Patrick Star, Yeti Krab",Yeti Krabs
"November 11, 2013","['Alan Smart', 'Tom Yasumi']",,2013,Vincent Waller,189,,,,"""Lost in Bikini Bottom""","""Yeti Krabs""","['325-941', '325-942']",22 minutes,9,,"['Marc Ceccarelli', 'Luke Brookshier']",,,Paul Tibbitt,,7:00 pm,5.19,"['Marc Ceccarelli', 'Luke Brookshier', 'Doug Lawrence']","SpongeBob SquarePants, Squidward Tentacles, Eugene H. Krabs, Gary the Snail, Patrick Star, Sandy Cheeks, Patrick's forehead, [1], Mister Weiner, Pizza Pete, Señor Taco, Noodleman, Weenie goons, Davy Jones, Incidentals, Incidental 27, Incidental 45, Tom, Incidental 64, Incidental 92, Harris, Incidental 107, Incidental 14, Incidental 37A, Old Man Walker, Incidental 36, Incidental 105, Incidental 106, Incidental 107, Troutenheimer, Incidental 41, Incidental 68, Incidental 49, Incidental 31, Incidental 46, Harold, Incidental 60, Incidental 69, Incidental 67, Incidental 42, Scooter, Incidental 40, Incidental 47, Incidental 7, Incidental 48",SpongeBob You're Fired
"July 16, 2015","['Alan Smart', 'Tom Yasumi']",,2015,Vincent Waller,190a,,,,"""Tutor Sauce""","""SpongeBob You're Fired""",325-939,"10 minutes, 48 seconds",9,"""Tutor Sauce""",,Bob Camp,Sherm Cohen,,,7:45 pm,2.76,"['Jack Pendarvis', 'Derek Iversen (uncredited)']","Scallop, Squidward Tentacles, SpongeBob SquarePants, Patrick Star, Eugene H. Krabs, Sandy Cheeks, Shelled spider-like creature, Sal, Incidentals, Scooter, Charlie, Incidental 40, Incidental 64, Incidental 8, Incidental 27, Incidental 37B, Incidental 41, Carol, Mabel, Incidental 85, Incidental 6, Incidental 42, Old Man Walker",Lost in Bikini Bottom
"July 16, 2015","['Alan Smart', 'Tom Yasumi']",,2015,Vincent Waller,190b,,,,"""Squid Plus One""","""Lost in Bikini Bottom""",325-935,"10 minutes, 46 seconds",9,"""Lost in Bikini Bottom""",Fred Osmond,,Sherm Cohen,,,7:30 pm,2.76,Jack Pendarvis,"SpongeBob SquarePants, Eugene H. Krabs, Incidentals, Tom, Incidental 41, Incidental 48, Incidental 40, Troutenheimer, Incidental 64, Steven, Incidental 36, Incidental 67, Incidental 152, Incidental 150, Incidental 151, Incidental 103, Incidental 60, Incidental 107, Incidental 37A, Incidental 31, Incidental 7, Incidental 2, Incidental 42, Billy, Incidental 104, Squidward Tentacles, Pearl Krabs, Patrick Star, Jeffrey the Jellyfish, Construction fish, Gary the Snail, Highway Speed Patrol, Mrs. Puff",Tutor Sauce
"September 7, 2015","['Alan Smart', 'Tom Yasumi']",,2015,Vincent Waller,191a,,,,"""The Executive Treatment""","""Tutor Sauce""",325-945,"10 minutes, 51 seconds",9,"""The Executive Treatment""",,Fred Osmond,Dave Cunningham,,,6:15 pm,1.98,"['Kyle McCulloch', 'Jack Pendarvis']","Squidward Tentacles, Scallops, SpongeBob SquarePants, Alternate-Universe Squidward, Incidentals, Incidental 154, Tom, Incidental 152, Incidental 107, Incidental 60, Carol, Incidental 15, Incidental 40, Incidental 46, Incidental 14, Incidental 24, Harris, Incidental 42, Incidental 48, Incidental 45, Incidental 34, Incidental 7, Incidental 25, Incidental 8, Incidental 31, Incidental 3, Incidental 12, Incidental 13, Incidental 27, John, Sandals, Frank, Incidental 106, Incidental 105, Incidental 115, Incidental 92, Mary, Incidental 41, Incidental 67, Incidental 64, Incidental 63, Incidental 68, Incidental 104, Incidental F17, Incidental F18, Incidental F1, Incidental F3, Lenny, Widow Duncan, Popeye fish, Champ 1, Starfish thug, Larry the Lobster, Big fish, Perch Perkins",Squid Plus One
"September 7, 2015","['Alan Smart', 'Tom Yasumi']",,2015,Vincent Waller,191b,Frank Ferrante as the stockholder eel,,,"""Company Picnic""","""Squid Plus One""",325-923,"10 minutes, 38 seconds",9,"""Squid Plus One""",,Fred Osmond,Sherm Cohen,,,6:00 pm,1.98,Jack Pendarvis,"Patrick Star, Eugene H. Krabs, Squidward Tentacles, Incidentals, Incidental 60, Incidental 106, Incidental 64, Incidental 157, Incidental 30, Lenny, BusinessFish 12, BusinessFish 13, Incidental 37B, Tom, Incidental 67, Incidental 49, Incidental 41, Incidental 107, Incidental 40, Scooter, Incidental 45, Steven, Incidental 27, BusinessFish 50, Incidental 118, Popeye fish, SpongeBob SquarePants, Stockholder eel, Jenkins",The Executive Treatment
"September 25, 2015","['Alan Smart', 'Tom Yasumi']",,2015,Vincent Waller,192a,,,,"""Pull Up a Barrel""","""The Executive Treatment""",325-919,"10 minutes, 55 seconds",9,"""Pull Up a Barrel""",,Lynne Naylor,Sherm Cohen,,,7:30 pm,1.61,"['Kyle McCulloch', 'Jack Pendarvis']","SpongeBob SquarePants, Krabby Patty workers, Squidward Tentacles, Mrs. Tentacles, Eugene H. Krabs, Sheldon J. Plankton, Jellyfish, Barnacle Boy, Seahorses, Simmy, Tally, Kelpy, Pearl Krabs, Walrus toys, Beary, Unicorn, King Neptune",Company Picnic
"September 18, 2015","['Alan Smart', 'Tom Yasumi']",,2015,Vincent Waller,192b,,,,"""Sanctuary!""","""Company Picnic""",325-949,"10 minutes, 50 seconds",9,"""Company Picnic""",,Bob Camp,Sherm Cohen,,,7:30 pm,2.09,Jack Pendarvis,"Eugene H. Krabs, Squidward Tentacles, SpongeBob SquarePants, Captain Scarfish, Incidentals, Incidental 92, Steven, Incidental 39, Incidental 60, Billy, Incidental 10, Incidental 64, Dale, Incidental 106, Incidental 107, Incidental 27, Fred, Incidental 69, Incidental 48, Incidental 116, Octopus sailor, SpongeBob guard, Pirate queen",Pull Up a Barrel
"October 16, 2015","['Alan Smart', 'Tom Yasumi']",,2015,Vincent Waller,193a,"['Bob Barker as Bob Barnacle', 'Dani Michaeli as Dani']",,,"""What's Eating Patrick?""","""Pull Up a Barrel""",325-933,"10 minutes, 55 seconds",9,"""What's Eating Patrick?""",,Fred Osmond,Dave Cunningham,,,7:30 pm,1.28,Kyle McCulloch,"SpongeBob SquarePants, Gary the Snail, Esmerelda, Patrick Star, Incidentals, Incidental 107, Incidental 41, Snail 13, Incidental 47, Incidental 60, Harris, Incidental 40, Incidental 37A, Incidental 45, Scooter, Incidental 42, Incidental 30, Incidental 48, Incidental 89B, Incidental 24, Incidental 31, Mary, Incidental 18, Incidental 49A, Troutenheimer, Harold, Incidental 20, Squidward Tentacles, Eugene H. Krabs, Worker fish, Bob Barnacle, snail, Baby snails, Mama snail, Dani, Dani Michaeli",Sanctuary!
"October 2, 2015","['Alan Smart', 'Tom Yasumi']",,2015,Vincent Waller,193b,,,,"""Patrick! The Game""","""Sanctuary!""",325-953,"10 minutes, 55 seconds",9,"""Sanctuary!""",,Joe Wierenga,Sherm Cohen,,,7:30 pm,1.77,"['Kyle McCulloch', 'Jack Pendarvis']","SpongeBob SquarePants, Squidward Tentacles, Eugene H. Krabs, Commissioner, Oswald McNulty, Patrick Star, Patrick's taste buds, Patrick's taste buds, Sandy Cheeks, Larry the Lobster, Mrs. Puff, Incidentals, Dale, Old Man Walker, Incidental 40, Incidental 1D, Incidental 60, Incidental 104, Incidental 41, Incidental 64, Steven, Incidental 14, Incidental 105, Incidental 30, Incidental 42, Incidental 27, Incidental 48, Incidental 45, Scooter, Incidental 153, Incidental 151, Incidental 8, Incidental 47, Incidental 7, Incidental 6, Incidental 9, Incidental 13, Dodo, Charlie, Incidental 31, Incidental 10, Incidental 46, Incidental 37B, Incidental 65, Incidental 49, Incidental 63, Incidental 118, Incidental 82, Carol, Incidental 81, Incidental 2, Incidental 152, Incidental 37A, Incidental 67, Incidental 16, Incidental 24, Incidental 106, Jellyfish, Ted, Bodyguard, Guard, Perch Perkins",What's Eating Patrick?
"November 11, 2015","['Alan Smart', 'Tom Yasumi']",,2015,,194a,,,,"""The Sewers of Bikini Bottom""","""What's Eating Patrick?""",325-959,"10 minutes, 52 seconds",9,"""The Sewers of Bikini Bottom""",,Fred Osmond,Sherm Cohen,"['Marc Ceccarelli', 'Vincent Waller']",,7:00 pm,2.05,Kyle McCulloch,"Patrick Star, SpongeBob SquarePants, Squidward Tentacles, French Narrator, Sandy Cheeks, Mini Brain Patrick, Fred, Purple cellmate, Highway Speed Patrol, Incidental 118B",Patrick! The Game
"November 11, 2015","['Alan Smart', 'Tom Yasumi']",,2015,,194b,Jeff Bennett as Charlton Hawkfish and the food vendor,,,"""SpongeBob LongPants""","""Patrick! The Game""",325-926,"10 minutes, 49 seconds",9,"""Patrick! The Game""",,Lynne Naylor,Dave Cunningham,"['Marc Ceccarelli', 'Vincent Waller']",,7:15 pm,2.05,"['Kaz', 'Derek Iversen (uncredited)', 'Doug Lawrence (uncredited)']","Squidward Tentacles, Eugene H. Krabs, SpongeBob SquarePants, Teddy, Sandy Cheeks, Crupski, Charlton Hawkfish, Incidentals, Incidental 9, Incidental 8, Carol, Incidental 6, Incidental 48, Incidental 27, Incidental 14, Incidental 1D, Incidental 60, Incidental 45, Incidental 42, Incidental 41, Incidental 36, Scooter, Incidental 40, Sandals, Incidental 3, Incidental 105, Charlie, Incidental 12, Incidental 31, Incidental 81, Incidental 155, Incidental 150, Incidental 116, Incidental 92, Incidental 93, Incidental 49, Incidental 157, Incidental 63, Incidental 158, Incidental 119, Incidental 67, Incidental 47, Incidental 13, Incidental 14, Incidental 17, Lenny, Incidental 102, Incidental 39, Incidental 73, John, Incidental 46, Incidental 106, Incidental 107, Incidental 115, Incidental 30, Incidental 64, Incidental 104, Steven, Incidental 82, Incidental 7, Incidental 37A, Incidental 91, Old Man Walker, Incidental 65, Incidental 68, Incidental 151, Incidental 25, Incidental 69, Incidental 15, Incidental 2, Incidental 85, Incidental 18, Mary, Incidental 103, Incidental 10, Incidental 37B, Incidental 152, Incidental 153, Incidental 154, Dale, Bikini Bottom Barnacles, Pearl Krabs, Grandma Krabs, Lampreys, Sewer snake, Drink vendor",The Sewers of Bikini Bottom
